entry_date,entry_price,signal_week,stop,exit_date,exit_price,return,hold_weeks,exit_reason
2016-04-04,25.022428977760278,2016-04-01,22.476183418673852,2016-04-11,24.61986927077251,-0.016087954824272166,1.0,Below 40w MA
2016-04-18,24.6757143264754,2016-04-15,22.237493362462107,2016-04-25,23.7229171016346,-0.0386127514784248,1.0,Below 40w MA
2016-08-01,23.804552427434675,2016-07-29,21.57199934547495,2016-11-21,25.29598930479494,0.06265343076315899,16.0,MACD bear cross
2016-12-19,26.68067280846617,2016-12-16,24.50384735163359,2017-02-13,30.702737484392298,0.15074824779717955,8.0,RSI>75
2017-12-04,40.37898588094374,2017-12-01,37.54685164499208,2018-01-02,39.716514062463595,-0.016406351076607595,4.142857142857143,MACD bear cross
2018-01-08,40.81676393890381,2018-01-05,38.066475285267124,2018-01-29,39.716514844111614,-0.026955813950343854,3.0,MACD bear cross
2018-05-14,44.60050771392806,2018-05-11,40.34507605570447,2018-08-20,51.490664399242924,0.15448605943028704,14.0,RSI>75
2019-03-25,45.702331511352924,2019-03-22,40.75280280366245,2019-05-20,43.83255494309086,-0.040912060860562205,8.0,Below 40w MA
2019-06-24,47.56245633634077,2019-06-21,42.44460499442671,2019-10-28,59.319165115739786,0.2471846427833908,18.0,RSI>75
2020-05-18,75.91869679029182,2020-05-15,64.97213403360443,2020-07-13,94.03341341103477,0.23860679103568838,8.0,RSI>75
2021-02-16,132.04295406961464,2021-02-12,116.30553013357664,2021-02-22,124.37955541512977,-0.05803716456119745,0.8571428571428571,MACD bear cross
2022-01-31,166.60422294584572,2022-01-28,148.8705455239907,2022-02-07,168.95584539557544,0.014115023065736532,1.0,MACD bear cross
2022-08-01,158.0782362474094,2022-07-29,137.37009959927695,2022-09-06,153.3734934333866,-0.02976211606169077,5.142857142857143,Below 40w MA
2023-02-06,150.2488281575956,2023-02-03,130.5736431979848,2023-02-27,145.24844450219874,-0.03328068322870359,3.0,Below 40w MA
2023-03-06,151.68146337582616,2023-03-03,133.83192861653959,2023-06-26,183.97061648859088,0.21287474681570573,16.0,RSI>75
2023-11-27,188.0759668948836,2023-11-24,172.65600391500092,2024-01-16,179.85097721305723,-0.04373227381265221,7.142857142857143,MACD bear cross
2024-05-13,184.1232102876774,2024-05-10,168.0664349619927,2024-07-15,234.0974279792697,0.27141726245980435,9.0,RSI>75
2024-08-05,197.67626732667313,2024-08-02,177.4037939840961,2024-09-30,227.98588215310545,0.15332955865836784,8.0,MACD bear cross
2025-08-11,227.61794172190787,2025-08-08,201.257472215379,2026-01-05,269.7329032483679,0.18502478850245452,21.0,MACD bear cross
2026-05-04,279.8216807216221,2026-05-01,253.50034103045516,2026-06-10,291.14261659240725,0.04045767948212586,5.285714285714286,End of test / mark-to-market close
